时间,商品名称,库存变化,单笔销量
2026-03-27 14:42:04,C-韩国地址,-49->-51,2
2026-03-27 14:43:09,A-日本地址,-16->-17,1
2026-03-27 14:43:09,A-韩国地址,-71->-74,3
2026-03-27 14:43:09,B-日本地址,-12->-13,1
2026-03-27 14:43:09,B-韩国地址,-49->-51,2
2026-03-27 14:43:09,C-日本地址,-9->-10,1
2026-03-27 14:43:09,C-韩国地址,-51->-52,1
2026-03-27 14:44:14,A-韩国地址,-74->-75,1
2026-03-27 14:44:14,B-韩国地址,-51->-52,1
2026-03-27 14:44:14,C-韩国地址,-52->-53,1
2026-03-27 14:45:21,A-韩国地址,-75->-77,2
2026-03-27 14:45:21,B-韩国地址,-52->-53,1
2026-03-27 14:45:21,C-韩国地址,-53->-55,2
2026-03-27 14:46:28,A-韩国地址,-77->-78,1
2026-03-27 14:46:28,B-韩国地址,-53->-52,-1
2026-03-27 14:47:34,A-韩国地址,-78->-79,1
2026-03-27 14:47:34,B-韩国地址,-52->-53,1
2026-03-27 14:47:34,C-韩国地址,-55->-56,1
2026-03-27 14:48:40,B-韩国地址,-53->-55,2
2026-03-27 14:50:53,A-韩国地址,-79->-82,3
2026-03-27 14:51:59,A-韩国地址,-82->-83,1
2026-03-27 14:53:05,A-韩国地址,-83->-84,1
2026-03-27 14:53:16,A-国际地址,0->-1,1
2026-03-27 14:54:11,A-中国地址,-3->-4,1
2026-03-27 14:54:11,A-韩国地址,-84->-87,3
2026-03-27 14:54:11,B-日本地址,-13->-14,1
2026-03-27 14:54:11,B-中国地址,-1->-4,3
2026-03-27 14:54:11,B-韩国地址,-55->-56,1
2026-03-27 14:54:11,C-日本地址,-10->-12,2
2026-03-27 14:54:11,C-中国地址,-1->-4,3
2026-03-27 14:54:11,C-韩国地址,-56->-57,1
2026-03-27 14:55:17,A-日本地址,-17->-18,1
2026-03-27 14:55:17,A-中国地址,-4->-5,1
2026-03-27 14:56:23,A-日本地址,-18->-19,1
2026-03-27 14:56:23,A-韩国地址,-87->-90,3
2026-03-27 14:56:23,B-日本地址,-14->-16,2
2026-03-27 14:56:23,B-韩国地址,-56->-58,2
2026-03-27 14:56:23,C-日本地址,-12->-13,1
2026-03-27 14:56:23,C-韩国地址,-57->-60,3
2026-03-27 14:56:46,B-国际地址,0->-1,1
2026-03-27 14:57:19,C-国际地址,0->-1,1
2026-03-27 14:57:30,A-国际地址,-1->-3,2
2026-03-27 14:57:30,A-韩国地址,-90->-91,1
2026-03-27 14:57:30,C-韩国地址,-60->-61,1
2026-03-27 14:58:36,A-日本地址,-19->-21,2
2026-03-27 14:58:36,A-中国地址,-5->-6,1
2026-03-27 14:58:36,A-韩国地址,-91->-92,1
2026-03-27 14:58:36,B-日本地址,-16->-17,1
2026-03-27 14:58:36,B-中国地址,-4->-5,1
2026-03-27 14:58:36,B-韩国地址,-58->-60,2
2026-03-27 14:58:36,C-日本地址,-13->-14,1
2026-03-27 14:58:36,C-中国地址,-4->-5,1
2026-03-27 14:58:36,C-韩国地址,-61->-62,1
2026-03-27 14:59:42,A-日本地址,-21->-22,1
2026-03-27 14:59:42,A-韩国地址,-92->-96,4
2026-03-27 14:59:42,B-日本地址,-17->-18,1
2026-03-27 14:59:42,B-韩国地址,-60->-64,4
2026-03-27 14:59:42,C-日本地址,-14->-16,2
2026-03-27 14:59:42,C-韩国地址,-62->-66,4
2026-03-27 15:00:49,A-韩国地址,-96->-97,1
2026-03-27 15:00:49,B-韩国地址,-64->-65,1
2026-03-27 15:00:49,C-韩国地址,-66->-68,2
2026-03-27 15:01:55,A-韩国地址,-97->-101,4
2026-03-27 15:03:01,A-中国地址,-6->-8,2
2026-03-27 15:03:01,A-韩国地址,-101->-103,2
2026-03-27 15:03:01,B-中国地址,-5->-6,1
2026-03-27 15:03:01,C-中国地址,-5->-6,1
2026-03-27 15:03:01,C-韩国地址,-68->-69,1
2026-03-27 15:05:14,A-韩国地址,-103->-104,1
2026-03-27 15:05:14,C-韩国地址,-69->-70,1
2026-03-27 15:06:20,C-韩国地址,-70->-69,-1
2026-03-27 15:07:26,A-韩国地址,-104->-109,5
2026-03-27 15:07:26,B-韩国地址,-65->-68,3
2026-03-27 15:07:26,C-韩国地址,-69->-73,4
2026-03-27 15:08:33,A-日本地址,-22->-23,1
2026-03-27 15:08:33,B-日本地址,-18->-19,1
2026-03-27 15:08:33,C-日本地址,-16->-17,1
2026-03-27 15:09:28,B-国际地址,-1->-3,2
2026-03-27 15:10:01,A-国际地址,-3->-4,1
2026-03-27 15:10:01,C-国际地址,-1->-3,2
2026-03-27 15:10:34,B-中国地址,-6->-8,2
2026-03-27 15:10:34,C-中国地址,-6->-8,2
2026-03-27 15:10:45,A-中国地址,-8->-9,1
2026-03-27 15:10:45,A-韩国地址,-109->-110,1
2026-03-27 15:10:45,C-韩国地址,-73->-75,2
2026-03-27 15:12:58,A-韩国地址,-110->-113,3
2026-03-27 15:12:58,B-韩国地址,-68->-69,1
2026-03-27 15:12:58,C-韩国地址,-75->-77,2
2026-03-27 15:14:04,A-日本地址,-23->-25,2
2026-03-27 15:14:04,A-韩国地址,-113->-114,1
2026-03-27 15:14:04,B-韩国地址,-69->-70,1
2026-03-27 15:14:04,C-韩国地址,-77->-78,1
2026-03-27 15:15:10,A-韩国地址,-114->-116,2
2026-03-27 15:15:10,B-韩国地址,-70->-71,1
2026-03-27 15:15:10,C-韩国地址,-78->-79,1
2026-03-27 15:16:17,A-韩国地址,-116->-118,2
2026-03-27 15:16:17,B-韩国地址,-71->-74,3
2026-03-27 15:16:17,C-韩国地址,-79->-82,3
2026-03-27 15:17:01,B-国际地址,-3->-4,1
2026-03-27 15:17:23,A-日本地址,-25->-27,2
2026-03-27 15:17:23,B-日本地址,-19->-22,3
2026-03-27 15:17:23,C-日本地址,-17->-19,2
2026-03-27 15:17:23,C-国际地址,-3->-4,1
2026-03-27 15:17:45,A-国际地址,-4->-5,1
2026-03-27 15:18:40,A-国际地址,-5->-6,1
2026-03-27 15:19:35,A-日本地址,-27->-29,2
2026-03-27 15:19:35,A-韩国地址,-118->-117,-1
2026-03-27 15:19:35,B-日本地址,-22->-23,1
2026-03-27 15:19:35,C-日本地址,-19->-21,2
2026-03-27 15:19:35,C-韩国地址,-82->-83,1
2026-03-27 15:20:31,B-中国地址,-8->-9,1
2026-03-27 15:20:31,C-中国地址,-8->-9,1
2026-03-27 15:20:42,A-日本地址,-29->-30,1
2026-03-27 15:20:42,A-中国地址,-9->-10,1
2026-03-27 15:20:42,A-韩国地址,-117->-118,1
2026-03-27 15:20:42,B-韩国地址,-74->-75,1
2026-03-27 15:21:48,A-日本地址,-30->-31,1
2026-03-27 15:21:48,B-日本地址,-23->-25,2
2026-03-27 15:21:48,C-日本地址,-21->-22,1
2026-03-27 15:22:55,A-韩国地址,-118->-120,2
2026-03-27 15:22:55,C-韩国地址,-83->-84,1
2026-03-27 15:24:56,B-中国地址,-9->-10,1
2026-03-27 15:24:56,C-中国地址,-9->-10,1
2026-03-27 15:25:07,A-日本地址,-31->-32,1
2026-03-27 15:25:07,A-中国地址,-10->-12,2
2026-03-27 15:25:07,A-韩国地址,-120->-122,2
2026-03-27 15:25:07,B-日本地址,-25->-26,1
2026-03-27 15:25:07,B-韩国地址,-75->-77,2
2026-03-27 15:25:07,C-日本地址,-22->-23,1
2026-03-27 15:25:07,C-韩国地址,-84->-86,2
2026-03-27 15:26:13,A-韩国地址,-122->-123,1
2026-03-27 15:27:20,A-韩国地址,-123->-125,2
2026-03-27 15:27:20,B-韩国地址,-77->-78,1
2026-03-27 15:27:20,C-韩国地址,-86->-87,1
2026-03-27 15:29:21,B-中国地址,-10->-8,-2
2026-03-27 15:29:21,C-中国地址,-10->-8,-2
2026-03-27 15:29:32,A-日本地址,-32->-34,2
2026-03-27 15:29:32,A-中国地址,-12->-9,-3
